iteration	evaluations	runtime[s]	Bloques_Colocados-MAX[256][MAX]
255	6375	0.766	14
256	6400	0.767	14
257	6425	0.769	14
258	6450	0.771	14
259	6475	0.778	14
260	6500	0.779	14
261	6525	0.78	14
262	6550	0.782	14
263	6575	0.783	14
264	6600	0.785	14
265	6625	0.787	14
266	6650	0.788	14
267	6675	0.79	14
268	6700	0.791	14
269	6725	0.792	14
270	6750	0.793	14
271	6775	0.794	14
272	6800	0.795	14
273	6825	0.797	14
274	6850	0.798	14
275	6875	0.799	14
276	6900	0.8	14
277	6925	0.801	14
278	6950	0.803	14
279	6975	0.804	14
280	7000	0.806	14
281	7025	0.808	14
282	7050	0.809	14
283	7075	0.811	14
284	7100	0.813	14
285	7125	0.814	14
286	7150	0.816	14
287	7175	0.817	14
288	7200	0.818	14
289	7225	0.819	14
290	7250	0.82	14
291	7275	0.822	14
292	7300	0.824	14
293	7325	0.825	14
294	7350	0.826	14
295	7375	0.828	14
296	7400	0.829	14
297	7425	0.831	14
298	7450	0.833	14
299	7475	0.834	14
300	7500	0.835	14
301	7525	0.836	14
302	7550	0.837	14
303	7575	0.839	14
304	7600	0.84	14
305	7625	0.843	14
306	7650	0.844	14
307	7675	0.845	14
308	7700	0.846	14
309	7725	0.847	14
310	7750	0.848	14
311	7775	0.848	14
312	7800	0.851	14
313	7825	0.852	14
314	7850	0.853	14
315	7875	0.854	14
316	7900	0.856	14
317	7925	0.86	14
318	7950	0.861	14
319	7975	0.862	14
320	8000	0.863	14
321	8025	0.864	14
322	8050	0.865	14
323	8075	0.866	14
324	8100	0.867	14
325	8125	0.869	14
326	8150	0.87	14
327	8175	0.871	14
328	8200	0.873	14
329	8225	0.875	14
330	8250	0.876	14
331	8275	0.877	14
332	8300	0.878	14
333	8325	0.879	14
334	8350	0.879	14
335	8375	0.88	14
336	8400	0.881	14
337	8425	0.882	14
338	8450	0.883	14
339	8475	0.884	14
340	8500	0.885	14
341	8525	0.886	14
342	8550	0.887	14
343	8575	0.889	14
344	8600	0.892	14
345	8625	0.894	14
346	8650	0.895	14
347	8675	0.896	14
348	8700	0.897	14
349	8725	0.898	14
350	8750	0.899	14
351	8775	0.899	14
352	8800	0.9	14
353	8825	0.902	14
354	8850	0.902	14
355	8875	0.903	14
356	8900	0.905	14
357	8925	0.907	14
358	8950	0.908	14
359	8975	0.909	14
360	9000	0.91	14
361	9025	0.911	14
362	9050	0.912	14
363	9075	0.913	14
364	9100	0.914	14
365	9125	0.915	14
366	9150	0.916	14
367	9175	0.917	14
368	9200	0.918	14
369	9225	0.919	14
370	9250	0.92	14
371	9275	0.921	14
372	9300	0.923	14
373	9325	0.927	14
374	9350	0.928	14
375	9375	0.929	14
376	9400	0.932	14
377	9425	0.933	14
378	9450	0.934	14
379	9475	0.935	14
380	9500	0.936	14
381	9525	0.937	14
382	9550	0.938	14
383	9575	0.94	14
384	9600	0.943	14
385	9625	0.944	14
386	9650	0.946	14
387	9675	0.947	14
388	9700	0.948	14
389	9725	0.949	14
390	9750	0.95	14
391	9775	0.951	14
392	9800	0.952	14
393	9825	0.953	14
394	9850	0.954	14
395	9875	0.955	14
396	9900	0.958	14
397	9925	0.959	14
398	9950	0.96	14
399	9975	0.961	14
400	10000	0.962	14
401	10025	0.963	14
402	10050	0.964	14
403	10075	0.965	14
404	10100	0.965	14
405	10125	0.966	14
406	10150	0.967	14
407	10175	0.968	14
408	10200	0.969	14
409	10225	0.971	14
410	10250	0.974	14
411	10275	0.976	14
412	10300	0.977	14
413	10325	0.978	14
414	10350	0.979	14
415	10375	0.979	14
416	10400	0.98	14
417	10425	0.981	14
418	10450	0.982	14
419	10475	0.983	14
420	10500	0.984	14
421	10525	0.985	14
422	10550	0.986	14
423	10575	0.987	14
424	10600	0.988	14
425	10625	0.99	14
426	10650	0.992	14
427	10675	0.993	14
428	10700	0.994	14
429	10725	0.994	14
430	10750	0.995	14
431	10775	0.999	14
432	10800	1.0	14
433	10825	1.001	14
434	10850	1.002	14
435	10875	1.003	14
436	10900	1.004	14
437	10925	1.005	14
438	10950	1.008	14
439	10975	1.008	14
440	11000	1.009	14
441	11025	1.011	14
442	11050	1.012	14
443	11075	1.013	14
444	11100	1.014	14
445	11125	1.015	14
446	11150	1.016	14
447	11175	1.017	14
448	11200	1.018	14
449	11225	1.019	14
450	11250	1.02	14
451	11275	1.021	14
452	11300	1.023	14
453	11325	1.025	14
454	11350	1.026	14
455	11375	1.027	14
456	11400	1.028	14
457	11425	1.028	14
458	11450	1.029	14
459	11475	1.03	14
460	11500	1.031	14
461	11525	1.032	14
462	11550	1.033	14
463	11575	1.034	14
464	11600	1.035	14
465	11625	1.036	14
466	11650	1.037	14
467	11675	1.038	14
468	11700	1.041	14
469	11725	1.042	14
470	11750	1.043	14
471	11775	1.043	14
472	11800	1.044	14
473	11825	1.045	14
474	11850	1.046	14
475	11875	1.047	14
476	11900	1.048	14
477	11925	1.049	14
478	11950	1.05	14
479	11975	1.051	14
480	12000	1.053	14
481	12025	1.054	14
482	12050	1.055	14
483	12075	1.058	14
484	12100	1.059	14
485	12125	1.06	14
486	12150	1.061	14
487	12175	1.062	14
488	12200	1.063	14
489	12225	1.066	14
490	12250	1.067	14
491	12275	1.068	14
492	12300	1.069	14
493	12325	1.071	14
494	12350	1.072	14
495	12375	1.074	14
496	12400	1.076	14
497	12425	1.077	14
498	12450	1.078	14
499	12475	1.079	14
500	12500	1.08	14
501	12525	1.082	14
502	12550	1.083	14
503	12575	1.084	14
504	12600	1.085	14
505	12625	1.086	14
506	12650	1.088	14
507	12675	1.089	14
508	12700	1.091	14
509	12725	1.092	14
510	12750	1.093	14
511	12775	1.095	14
512	12800	1.096	14
513	12825	1.099	14
514	12850	1.1	14
515	12875	1.102	14
516	12900	1.104	14
517	12925	1.106	14
518	12950	1.108	14
519	12975	1.109	14
520	13000	1.11	14
521	13025	1.111	14
522	13050	1.112	14
523	13075	1.114	14
524	13100	1.115	14
525	13125	1.116	14
526	13150	1.117	14
527	13175	1.118	14
528	13200	1.12	14
529	13225	1.121	14
530	13250	1.122	14
531	13275	1.124	14
532	13300	1.125	14
533	13325	1.127	14
534	13350	1.128	14
535	13375	1.129	14
536	13400	1.13	14
537	13425	1.131	14
538	13450	1.133	14
539	13475	1.135	14
540	13500	1.136	14
541	13525	1.136	14
542	13550	1.137	14
543	13575	1.139	14
544	13600	1.14	14
545	13625	1.141	14
546	13650	1.142	14
547	13675	1.143	14
548	13700	1.144	14
549	13725	1.145	14
550	13750	1.146	14
551	13775	1.147	14
552	13800	1.147	14
553	13825	1.148	14
554	13850	1.149	14
555	13875	1.15	14
556	13900	1.151	14
557	13925	1.152	14
558	13950	1.153	14
559	13975	1.154	14
560	14000	1.155	14
561	14025	1.156	14
562	14050	1.157	14
563	14075	1.158	14
564	14100	1.159	14
565	14125	1.159	14
566	14150	1.16	14
567	14175	1.161	14
568	14200	1.162	14
569	14225	1.163	14
570	14250	1.164	14
571	14275	1.165	14
572	14300	1.165	14
573	14325	1.166	14
574	14350	1.167	14
575	14375	1.168	14
576	14400	1.169	14
577	14425	1.17	14
578	14450	1.171	14
579	14475	1.172	14
580	14500	1.173	14
581	14525	1.175	14
582	14550	1.176	14
583	14575	1.177	14
584	14600	1.179	14
585	14625	1.18	14
586	14650	1.181	14
587	14675	1.182	14
588	14700	1.183	14
589	14725	1.184	14
590	14750	1.185	14
591	14775	1.186	14
592	14800	1.186	14
593	14825	1.187	14
594	14850	1.188	14
595	14875	1.189	14
596	14900	1.19	14
597	14925	1.191	14
598	14950	1.191	14
599	14975	1.192	14
600	15000	1.193	14
601	15025	1.194	14
602	15050	1.195	14
603	15075	1.196	14
604	15100	1.196	14
605	15125	1.197	14
606	15150	1.198	14
607	15175	1.199	14
608	15200	1.2	14
609	15225	1.201	14
610	15250	1.201	14
611	15275	1.202	14
612	15300	1.203	14
613	15325	1.204	14
614	15350	1.205	14
615	15375	1.206	14
616	15400	1.207	14
617	15425	1.207	14
618	15450	1.208	14
619	15475	1.209	14
620	15500	1.21	14
621	15525	1.211	14
622	15550	1.213	14
623	15575	1.215	14
624	15600	1.216	14
625	15625	1.217	14
626	15650	1.218	14
627	15675	1.219	14
628	15700	1.22	14
629	15725	1.221	14
630	15750	1.223	14
631	15775	1.223	14
632	15800	1.224	14
633	15825	1.225	14
634	15850	1.226	14
635	15875	1.227	14
636	15900	1.228	14
637	15925	1.229	14
638	15950	1.23	14
639	15975	1.231	14
640	16000	1.232	14
641	16025	1.233	14
642	16050	1.235	14
643	16075	1.236	14
644	16100	1.236	14
645	16125	1.237	14
646	16150	1.238	14
647	16175	1.239	14
648	16200	1.24	14
649	16225	1.241	14
650	16250	1.241	14
651	16275	1.242	14
652	16300	1.243	14
653	16325	1.244	14
654	16350	1.245	14
655	16375	1.246	14
656	16400	1.247	14
657	16425	1.248	14
658	16450	1.248	14
659	16475	1.249	14
660	16500	1.25	14
661	16525	1.252	14
662	16550	1.254	14
663	16575	1.256	14
664	16600	1.257	14
665	16625	1.258	14
666	16650	1.258	14
667	16675	1.259	14
668	16700	1.26	14
669	16725	1.261	14
670	16750	1.262	14
671	16775	1.263	14
672	16800	1.264	14
673	16825	1.264	14
674	16850	1.265	14
675	16875	1.266	14
676	16900	1.267	14
677	16925	1.268	14
678	16950	1.269	14
679	16975	1.27	14
680	17000	1.272	14
681	17025	1.273	14
682	17050	1.274	14
683	17075	1.275	14
684	17100	1.275	14
685	17125	1.276	14
686	17150	1.277	14
687	17175	1.278	14
688	17200	1.279	14
689	17225	1.28	14
690	17250	1.281	14
691	17275	1.281	14
692	17300	1.282	14
693	17325	1.283	14
694	17350	1.284	14
695	17375	1.285	14
696	17400	1.286	14
697	17425	1.287	14
698	17450	1.287	14
699	17475	1.288	14
700	17500	1.289	14
701	17525	1.29	14
702	17550	1.291	14
703	17575	1.293	14
704	17600	1.295	14
705	17625	1.296	14
706	17650	1.297	14
707	17675	1.297	14
708	17700	1.298	14
709	17725	1.299	14
710	17750	1.3	14
711	17775	1.301	14
712	17800	1.302	14
713	17825	1.303	14
714	17850	1.304	14
715	17875	1.305	14
716	17900	1.306	14
717	17925	1.306	14
718	17950	1.307	14
719	17975	1.308	14
720	18000	1.309	14
721	18025	1.31	14
722	18050	1.311	14
723	18075	1.311	14
724	18100	1.312	14
725	18125	1.313	14
726	18150	1.314	14
727	18175	1.315	14
728	18200	1.316	14
729	18225	1.317	14
730	18250	1.318	14
731	18275	1.318	14
732	18300	1.319	14
733	18325	1.32	14
734	18350	1.321	14
735	18375	1.322	14
736	18400	1.323	14
737	18425	1.323	14
738	18450	1.324	14
739	18475	1.325	14
740	18500	1.326	14
741	18525	1.327	14
742	18550	1.328	14
743	18575	1.328	14
744	18600	1.329	14
745	18625	1.33	14
746	18650	1.331	14
747	18675	1.333	14
748	18700	1.334	14
749	18725	1.335	14
750	18750	1.336	14
751	18775	1.337	14
752	18800	1.338	14
753	18825	1.339	14
754	18850	1.34	14
755	18875	1.341	14
756	18900	1.342	14
757	18925	1.342	14
758	18950	1.343	14
759	18975	1.344	14
760	19000	1.345	14
761	19025	1.346	14
762	19050	1.347	14
763	19075	1.347	14
764	19100	1.348	14
765	19125	1.349	14
766	19150	1.35	14
767	19175	1.351	14
768	19200	1.352	14
769	19225	1.352	14
770	19250	1.353	14
771	19275	1.354	14
772	19300	1.355	14
773	19325	1.356	14
774	19350	1.358	14
775	19375	1.359	14
776	19400	1.36	14
777	19425	1.36	14
778	19450	1.361	14
779	19475	1.362	14
780	19500	1.363	14
781	19525	1.364	14
782	19550	1.364	14
783	19575	1.365	14
784	19600	1.366	14
785	19625	1.367	14
786	19650	1.368	14
787	19675	1.369	14
788	19700	1.37	14
789	19725	1.37	14
790	19750	1.371	14
791	19775	1.373	14
792	19800	1.374	14
793	19825	1.376	14
794	19850	1.376	14
795	19875	1.377	14
796	19900	1.378	14
797	19925	1.379	14
798	19950	1.38	14
799	19975	1.381	14
800	20000	1.381	14
801	20025	1.382	14
802	20050	1.383	14
803	20075	1.384	14
804	20100	1.385	14
805	20125	1.386	14
806	20150	1.386	14
807	20175	1.388	15
808	20200	1.389	15
809	20225	1.39	15
810	20250	1.392	15
811	20275	1.393	15
812	20300	1.394	15
813	20325	1.396	15
814	20350	1.397	15
815	20375	1.399	15
816	20400	1.4	15
817	20425	1.402	15
818	20450	1.404	15
819	20475	1.405	15
820	20500	1.407	15
821	20525	1.408	15
822	20550	1.41	15
823	20575	1.412	15
824	20600	1.414	15
825	20625	1.416	15
826	20650	1.417	15
827	20675	1.419	15
828	20700	1.421	15
829	20725	1.423	15
830	20750	1.424	15
831	20775	1.426	15
832	20800	1.427	15
833	20825	1.429	15
834	20850	1.43	15
835	20875	1.431	15
836	20900	1.433	15
837	20925	1.435	15
838	20950	1.436	15
839	20975	1.437	15
840	21000	1.439	15
841	21025	1.44	15
842	21050	1.442	15
843	21075	1.443	15
844	21100	1.445	15
845	21125	1.446	15
846	21150	1.447	15
847	21175	1.449	15
848	21200	1.45	15
849	21225	1.452	15
850	21250	1.453	15
851	21275	1.455	15
852	21300	1.456	15
853	21325	1.458	15
854	21350	1.459	15
855	21375	1.46	15
856	21400	1.462	15
857	21425	1.463	15
858	21450	1.465	15
859	21475	1.466	15
860	21500	1.467	15
861	21525	1.469	15
862	21550	1.47	15
863	21575	1.472	15
864	21600	1.473	15
865	21625	1.475	15
866	21650	1.476	15
867	21675	1.48	15
868	21700	1.482	15
869	21725	1.484	15
870	21750	1.486	15
871	21775	1.487	15
872	21800	1.489	15
873	21825	1.491	15
874	21850	1.493	15
875	21875	1.495	15
876	21900	1.497	15
877	21925	1.499	15
878	21950	1.501	15
879	21975	1.503	15
880	22000	1.505	15
881	22025	1.507	15
882	22050	1.509	15
883	22075	1.511	15
884	22100	1.513	15
885	22125	1.515	15
886	22150	1.516	15
887	22175	1.518	15
888	22200	1.52	15
889	22225	1.522	15
890	22250	1.523	15
891	22275	1.525	15
892	22300	1.527	15
893	22325	1.528	15
894	22350	1.53	15
895	22375	1.532	15
896	22400	1.533	15
897	22425	1.535	15
898	22450	1.537	15
899	22475	1.538	15
900	22500	1.54	15
901	22525	1.543	15
902	22550	1.544	15
903	22575	1.546	15
904	22600	1.547	15
905	22625	1.549	15
906	22650	1.55	15
907	22675	1.551	15
908	22700	1.553	15
909	22725	1.554	15
910	22750	1.555	15
911	22775	1.556	15
912	22800	1.557	15
913	22825	1.557	15
914	22850	1.558	15
915	22875	1.559	15
916	22900	1.56	15
917	22925	1.56	15
918	22950	1.561	15
919	22975	1.562	15
920	23000	1.563	15
921	23025	1.563	15
922	23050	1.564	15
923	23075	1.565	15
924	23100	1.566	15
925	23125	1.566	15
926	23150	1.567	15
927	23175	1.568	15
928	23200	1.568	15
929	23225	1.569	15
930	23250	1.57	15
931	23275	1.571	15
932	23300	1.571	15
933	23325	1.572	15
934	23350	1.573	15
935	23375	1.574	15
936	23400	1.575	15
937	23425	1.576	15
938	23450	1.577	15
939	23475	1.578	15
940	23500	1.579	15
941	23525	1.579	15
942	23550	1.58	15
943	23575	1.581	15
944	23600	1.582	15
945	23625	1.582	15
946	23650	1.583	15
947	23675	1.584	15
948	23700	1.585	15
949	23725	1.586	15
950	23750	1.586	15
951	23775	1.587	15
952	23800	1.588	15
953	23825	1.589	15
954	23850	1.589	15
955	23875	1.59	15
956	23900	1.591	15
957	23925	1.592	15
958	23950	1.593	15
959	23975	1.594	15
960	24000	1.594	15
961	24025	1.595	15
962	24050	1.596	15
963	24075	1.597	15
964	24100	1.598	15
965	24125	1.598	15
966	24150	1.599	15
967	24175	1.601	15
968	24200	1.602	15
969	24225	1.603	15
970	24250	1.605	15
971	24275	1.606	15
972	24300	1.608	15
973	24325	1.609	15
974	24350	1.61	15
975	24375	1.612	15
976	24400	1.612	15
977	24425	1.614	15
978	24450	1.615	15
979	24475	1.616	15
980	24500	1.617	15
981	24525	1.618	15
982	24550	1.618	15
983	24575	1.621	15
984	24600	1.622	15
985	24625	1.623	15
986	24650	1.623	15
987	24675	1.624	15
988	24700	1.625	15
989	24725	1.626	15
990	24750	1.626	15
991	24775	1.627	15
992	24800	1.628	15
993	24825	1.629	15
994	24850	1.629	15
995	24875	1.63	15
996	24900	1.631	15
997	24925	1.632	15
998	24950	1.632	15
999	24975	1.633	15
1000	25000	1.634	15
1001	25025	1.635	15
1002	25050	1.635	15
1003	25075	1.636	15
1004	25100	1.637	15
1005	25125	1.638	15
1006	25150	1.639	15
1007	25175	1.639	15
1008	25200	1.64	15
1009	25225	1.641	15
1010	25250	1.642	15
1011	25275	1.643	15
1012	25300	1.644	15
1013	25325	1.644	15
1014	25350	1.645	15
1015	25375	1.646	15
1016	25400	1.647	15
1017	25425	1.647	15
1018	25450	1.648	15
1019	25475	1.649	15
1020	25500	1.65	15
1021	25525	1.65	15
1022	25550	1.651	15
1023	25575	1.652	15
1024	25600	1.653	15
1025	25625	1.654	15
1026	25650	1.655	15
1027	25675	1.656	15
1028	25700	1.657	15
1029	25725	1.658	15
1030	25750	1.659	15
1031	25775	1.66	15
1032	25800	1.66	15
1033	25825	1.661	15
1034	25850	1.662	15
1035	25875	1.663	15
1036	25900	1.663	15
1037	25925	1.664	15
1038	25950	1.665	15
1039	25975	1.666	15
1040	26000	1.666	15
1041	26025	1.667	15
1042	26050	1.668	15
1043	26075	1.669	15
1044	26100	1.67	15
1045	26125	1.67	15
1046	26150	1.671	15
1047	26175	1.672	15
1048	26200	1.673	15
1049	26225	1.674	15
1050	26250	1.674	15
1051	26275	1.675	15
1052	26300	1.676	15
1053	26325	1.677	15
1054	26350	1.677	15
1055	26375	1.678	15
1056	26400	1.679	15
1057	26425	1.68	15
1058	26450	1.681	15
1059	26475	1.682	15
1060	26500	1.682	15
1061	26525	1.683	15
1062	26550	1.684	15
1063	26575	1.685	15
1064	26600	1.685	15
1065	26625	1.686	15
1066	26650	1.687	15
1067	26675	1.688	15
1068	26700	1.688	15
1069	26725	1.689	15
1070	26750	1.69	15
1071	26775	1.691	15
1072	26800	1.691	15
1073	26825	1.692	15
1074	26850	1.693	15
1075	26875	1.694	15
1076	26900	1.695	15
1077	26925	1.696	15
1078	26950	1.697	15
1079	26975	1.697	15
1080	27000	1.698	15
1081	27025	1.699	15
1082	27050	1.7	15
1083	27075	1.7	15
1084	27100	1.701	15
1085	27125	1.702	15
1086	27150	1.703	15
1087	27175	1.703	15
1088	27200	1.705	15
1089	27225	1.705	15
1090	27250	1.706	15
1091	27275	1.707	15
1092	27300	1.708	15
1093	27325	1.709	15
1094	27350	1.709	15
1095	27375	1.71	15
1096	27400	1.711	15
1097	27425	1.712	15
1098	27450	1.712	15
1099	27475	1.715	15
1100	27500	1.716	16
1101	27525	1.717	16
1102	27550	1.718	16
1103	27575	1.719	16
1104	27600	1.719	16
1105	27625	1.721	16
1106	27650	1.722	16
1107	27675	1.723	16
1108	27700	1.724	16
1109	27725	1.725	16
1110	27750	1.726	16
1111	27775	1.727	16
1112	27800	1.728	16
1113	27825	1.729	16
1114	27850	1.73	16
1115	27875	1.731	16
1116	27900	1.732	16
1117	27925	1.732	16
1118	27950	1.733	16
1119	27975	1.735	16
1120	28000	1.736	16
1121	28025	1.737	16
1122	28050	1.738	16
1123	28075	1.739	16
1124	28100	1.74	16
1125	28125	1.741	16
1126	28150	1.742	16
1127	28175	1.743	16
1128	28200	1.744	16
1129	28225	1.744	16
1130	28250	1.745	16
1131	28275	1.746	16
1132	28300	1.747	16
1133	28325	1.747	16
1134	28350	1.748	16
1135	28375	1.749	16
1136	28400	1.75	16
1137	28425	1.751	16
1138	28450	1.751	16
1139	28475	1.752	16
1140	28500	1.753	16
1141	28525	1.753	16
1142	28550	1.754	16
1143	28575	1.755	16
1144	28600	1.756	16
1145	28625	1.757	16
1146	28650	1.757	16
1147	28675	1.758	16
1148	28700	1.759	16
1149	28725	1.759	16
1150	28750	1.76	16
1151	28775	1.761	16
1152	28800	1.762	16
1153	28825	1.762	16
1154	28850	1.763	16
1155	28875	1.764	16
1156	28900	1.765	16
1157	28925	1.765	16
1158	28950	1.766	16
1159	28975	1.767	16
1160	29000	1.768	16
1161	29025	1.768	16
1162	29050	1.769	16
1163	29075	1.77	16
1164	29100	1.771	16
1165	29125	1.771	16
1166	29150	1.772	16
1167	29175	1.773	16
1168	29200	1.774	16
1169	29225	1.775	16
1170	29250	1.776	16
1171	29275	1.776	16
1172	29300	1.777	16
1173	29325	1.778	16
1174	29350	1.779	16
1175	29375	1.779	16
1176	29400	1.78	16
1177	29425	1.781	16
1178	29450	1.782	16
1179	29475	1.782	16
1180	29500	1.783	16
1181	29525	1.784	16
1182	29550	1.785	16
1183	29575	1.785	16
1184	29600	1.786	16
1185	29625	1.787	16
1186	29650	1.788	16
1187	29675	1.789	16
1188	29700	1.79	16
1189	29725	1.791	16
1190	29750	1.791	16
1191	29775	1.792	16
1192	29800	1.793	16
1193	29825	1.794	16
1194	29850	1.795	16
1195	29875	1.795	16
1196	29900	1.796	16
1197	29925	1.797	16
1198	29950	1.798	16
1199	29975	1.799	16
1200	30000	1.799	16
1201	30025	1.8	16
1202	30050	1.801	16
1203	30075	1.802	16
1204	30100	1.802	16
1205	30125	1.803	16
1206	30150	1.804	16
1207	30175	1.805	16
1208	30200	1.805	16
1209	30225	1.806	16
1210	30250	1.807	16
1211	30275	1.809	16
1212	30300	1.81	16
1213	30325	1.81	16
1214	30350	1.811	16
1215	30375	1.812	16
1216	30400	1.813	16
1217	30425	1.814	16
1218	30450	1.815	16
1219	30475	1.816	16
1220	30500	1.817	16
1221	30525	1.818	16
1222	30550	1.818	16
1223	30575	1.819	16
1224	30600	1.82	16
1225	30625	1.821	16
1226	30650	1.822	16
1227	30675	1.822	16
1228	30700	1.823	16
1229	30725	1.824	16
1230	30750	1.825	16
1231	30775	1.825	16
1232	30800	1.826	16
1233	30825	1.827	16
1234	30850	1.828	16
1235	30875	1.829	16
1236	30900	1.83	16
1237	30925	1.831	16
1238	30950	1.832	16
1239	30975	1.832	16
1240	31000	1.833	16
1241	31025	1.834	16
1242	31050	1.835	16
1243	31075	1.835	16
