iteration	evaluations	runtime[s]	Porción_Colocados-MAX[MAX]
123	3075	2.74	0.020999999716877937
124	3100	2.745	0.020999999716877937
125	3125	2.762	0.020999999716877937
126	3150	2.791	0.020999999716877937
127	3175	2.801	0.020999999716877937
128	3200	2.807	0.020999999716877937
129	3225	2.811	0.020999999716877937
130	3250	2.816	0.020999999716877937
131	3275	2.821	0.020999999716877937
132	3300	2.828	0.020999999716877937
133	3325	2.833	0.020999999716877937
134	3350	2.838	0.020999999716877937
135	3375	2.842	0.020999999716877937
136	3400	2.848	0.020999999716877937
137	3425	2.851	0.020999999716877937
138	3450	2.855	0.020999999716877937
139	3475	2.859	0.020999999716877937
140	3500	2.863	0.020999999716877937
141	3525	2.867	0.020999999716877937
142	3550	2.871	0.020999999716877937
143	3575	2.877	0.020999999716877937
144	3600	2.887	0.020999999716877937
145	3625	2.892	0.020999999716877937
146	3650	2.897	0.020999999716877937
147	3675	2.903	0.020999999716877937
148	3700	2.91	0.020999999716877937
149	3725	2.916	0.02199999988079071
150	3750	2.92	0.02199999988079071
151	3775	2.927	0.02199999988079071
152	3800	2.93	0.02199999988079071
153	3825	2.935	0.02199999988079071
154	3850	2.939	0.02199999988079071
155	3875	2.942	0.02199999988079071
156	3900	2.945	0.02199999988079071
157	3925	2.948	0.02199999988079071
158	3950	2.954	0.02199999988079071
159	3975	2.958	0.02199999988079071
160	4000	2.962	0.02199999988079071
161	4025	2.966	0.02199999988079071
162	4050	2.972	0.02199999988079071
163	4075	2.976	0.02199999988079071
164	4100	2.979	0.02199999988079071
165	4125	2.982	0.02199999988079071
166	4150	2.985	0.02199999988079071
167	4175	2.989	0.02199999988079071
168	4200	2.993	0.02199999988079071
169	4225	2.999	0.02199999988079071
170	4250	3.003	0.02199999988079071
171	4275	3.007	0.02199999988079071
172	4300	3.011	0.02199999988079071
173	4325	3.015	0.02199999988079071
174	4350	3.02	0.02199999988079071
175	4375	3.022	0.02199999988079071
176	4400	3.033	0.02199999988079071
177	4425	3.037	0.02199999988079071
178	4450	3.04	0.02199999988079071
179	4475	3.043	0.02199999988079071
180	4500	3.045	0.02199999988079071
181	4525	3.048	0.02199999988079071
182	4550	3.051	0.02199999988079071
183	4575	3.054	0.02199999988079071
184	4600	3.056	0.02199999988079071
185	4625	3.059	0.02199999988079071
186	4650	3.062	0.02199999988079071
187	4675	3.066	0.02199999988079071
188	4700	3.07	0.02199999988079071
189	4725	3.074	0.02199999988079071
190	4750	3.078	0.02199999988079071
191	4775	3.082	0.02199999988079071
192	4800	3.085	0.02199999988079071
193	4825	3.088	0.02199999988079071
194	4850	3.091	0.02199999988079071
195	4875	3.094	0.02199999988079071
196	4900	3.097	0.02199999988079071
197	4925	3.1	0.02199999988079071
198	4950	3.102	0.02199999988079071
199	4975	3.105	0.02199999988079071
200	5000	3.107	0.02199999988079071
201	5025	3.11	0.02199999988079071
202	5050	3.113	0.02199999988079071
203	5075	3.117	0.02199999988079071
204	5100	3.122	0.02199999988079071
205	5125	3.125	0.02199999988079071
206	5150	3.129	0.02199999988079071
207	5175	3.133	0.023000000044703484
208	5200	3.142	0.023000000044703484
209	5225	3.148	0.023000000044703484
210	5250	3.151	0.023000000044703484
211	5275	3.154	0.023000000044703484
212	5300	3.158	0.023000000044703484
213	5325	3.162	0.023000000044703484
214	5350	3.165	0.023000000044703484
215	5375	3.168	0.023000000044703484
216	5400	3.172	0.023000000044703484
217	5425	3.176	0.023000000044703484
218	5450	3.181	0.023000000044703484
219	5475	3.186	0.023000000044703484
220	5500	3.19	0.023000000044703484
221	5525	3.196	0.023000000044703484
222	5550	3.2	0.023000000044703484
223	5575	3.205	0.023000000044703484
224	5600	3.219	0.023000000044703484
225	5625	3.224	0.023000000044703484
226	5650	3.23	0.023000000044703484
227	5675	3.238	0.023000000044703484
228	5700	3.244	0.023000000044703484
229	5725	3.252	0.023000000044703484
230	5750	3.256	0.023000000044703484
231	5775	3.26	0.023000000044703484
232	5800	3.263	0.023000000044703484
233	5825	3.266	0.023000000044703484
234	5850	3.269	0.023000000044703484
235	5875	3.271	0.023000000044703484
236	5900	3.276	0.023000000044703484
237	5925	3.281	0.023000000044703484
238	5950	3.288	0.023000000044703484
239	5975	3.293	0.024000000208616257
240	6000	3.298	0.024000000208616257
241	6025	3.302	0.024000000208616257
242	6050	3.307	0.024000000208616257
243	6075	3.311	0.024000000208616257
244	6100	3.316	0.024000000208616257
245	6125	3.321	0.024000000208616257
246	6150	3.325	0.024000000208616257
247	6175	3.331	0.024000000208616257
248	6200	3.336	0.024000000208616257
249	6225	3.341	0.024000000208616257
250	6250	3.346	0.024000000208616257
251	6275	3.35	0.024000000208616257
252	6300	3.354	0.024000000208616257
253	6325	3.358	0.024000000208616257
254	6350	3.362	0.024000000208616257
255	6375	3.366	0.024000000208616257
256	6400	3.371	0.024000000208616257
257	6425	3.375	0.024000000208616257
258	6450	3.386	0.024000000208616257
259	6475	3.39	0.024000000208616257
260	6500	3.395	0.024000000208616257
261	6525	3.401	0.024000000208616257
262	6550	3.405	0.024000000208616257
263	6575	3.412	0.024000000208616257
264	6600	3.417	0.024000000208616257
265	6625	3.422	0.024000000208616257
266	6650	3.426	0.024000000208616257
267	6675	3.43	0.024000000208616257
268	6700	3.433	0.024000000208616257
269	6725	3.435	0.024000000208616257
270	6750	3.444	0.024000000208616257
271	6775	3.452	0.02500000037252903
272	6800	3.456	0.02500000037252903
273	6825	3.461	0.02500000037252903
274	6850	3.465	0.02500000037252903
275	6875	3.469	0.02500000037252903
276	6900	3.472	0.02500000037252903
277	6925	3.476	0.02500000037252903
278	6950	3.481	0.02500000037252903
279	6975	3.484	0.02500000037252903
280	7000	3.49	0.02500000037252903
281	7025	3.494	0.02500000037252903
282	7050	3.496	0.02500000037252903
283	7075	3.498	0.02500000037252903
284	7100	3.501	0.02500000037252903
285	7125	3.503	0.02500000037252903
286	7150	3.506	0.02500000037252903
287	7175	3.509	0.02500000037252903
288	7200	3.512	0.02500000037252903
289	7225	3.514	0.02500000037252903
290	7250	3.518	0.02500000037252903
291	7275	3.52	0.02500000037252903
292	7300	3.522	0.02500000037252903
293	7325	3.524	0.02500000037252903
294	7350	3.526	0.02500000037252903
295	7375	3.53	0.02500000037252903
296	7400	3.532	0.02500000037252903
297	7425	3.534	0.02500000037252903
298	7450	3.536	0.02500000037252903
299	7475	3.539	0.02500000037252903
300	7500	3.541	0.026000000536441803
301	7525	3.543	0.026000000536441803
302	7550	3.545	0.026000000536441803
303	7575	3.547	0.026000000536441803
304	7600	3.55	0.026000000536441803
305	7625	3.554	0.026000000536441803
306	7650	3.561	0.026000000536441803
307	7675	3.565	0.026000000536441803
308	7700	3.57	0.026000000536441803
309	7725	3.574	0.026000000536441803
310	7750	3.578	0.026000000536441803
311	7775	3.582	0.026000000536441803
312	7800	3.586	0.026000000536441803
313	7825	3.59	0.026000000536441803
314	7850	3.593	0.026000000536441803
315	7875	3.596	0.026000000536441803
316	7900	3.599	0.026000000536441803
317	7925	3.607	0.026000000536441803
318	7950	3.609	0.026000000536441803
319	7975	3.612	0.026000000536441803
320	8000	3.614	0.026000000536441803
321	8025	3.616	0.026000000536441803
322	8050	3.619	0.026000000536441803
323	8075	3.622	0.026000000536441803
324	8100	3.625	0.026000000536441803
325	8125	3.628	0.026000000536441803
326	8150	3.63	0.026000000536441803
327	8175	3.633	0.026000000536441803
328	8200	3.636	0.026000000536441803
329	8225	3.639	0.026000000536441803
330	8250	3.642	0.026000000536441803
331	8275	3.645	0.026000000536441803
332	8300	3.648	0.026000000536441803
333	8325	3.651	0.026000000536441803
334	8350	3.655	0.026000000536441803
335	8375	3.658	0.026000000536441803
336	8400	3.66	0.026000000536441803
337	8425	3.663	0.026000000536441803
338	8450	3.666	0.027000000700354576
339	8475	3.669	0.027000000700354576
340	8500	3.672	0.027000000700354576
341	8525	3.674	0.027000000700354576
342	8550	3.678	0.027000000700354576
343	8575	3.682	0.027000000700354576
344	8600	3.687	0.027000000700354576
345	8625	3.691	0.027000000700354576
346	8650	3.696	0.027000000700354576
347	8675	3.701	0.027000000700354576
348	8700	3.706	0.027000000700354576
349	8725	3.711	0.027000000700354576
350	8750	3.715	0.027000000700354576
351	8775	3.72	0.027000000700354576
352	8800	3.724	0.02800000086426735
353	8825	3.727	0.02800000086426735
354	8850	3.73	0.02800000086426735
355	8875	3.734	0.02800000086426735
356	8900	3.736	0.02800000086426735
357	8925	3.738	0.02800000086426735
358	8950	3.74	0.02800000086426735
359	8975	3.742	0.02800000086426735
360	9000	3.745	0.02800000086426735
361	9025	3.747	0.02800000086426735
362	9050	3.749	0.02800000086426735
363	9075	3.751	0.02800000086426735
364	9100	3.753	0.02800000086426735
365	9125	3.756	0.02800000086426735
366	9150	3.76	0.02800000086426735
367	9175	3.762	0.02800000086426735
368	9200	3.765	0.02800000086426735
369	9225	3.767	0.02800000086426735
370	9250	3.77	0.02800000086426735
371	9275	3.772	0.02800000086426735
372	9300	3.774	0.02800000086426735
373	9325	3.776	0.02800000086426735
374	9350	3.779	0.02800000086426735
375	9375	3.781	0.02800000086426735
376	9400	3.783	0.02800000086426735
377	9425	3.785	0.02800000086426735
378	9450	3.787	0.02800000086426735
379	9475	3.789	0.02800000086426735
380	9500	3.791	0.02800000086426735
381	9525	3.794	0.02800000086426735
382	9550	3.796	0.02800000086426735
383	9575	3.799	0.02800000086426735
384	9600	3.803	0.02800000086426735
385	9625	3.807	0.02800000086426735
386	9650	3.818	0.02800000086426735
387	9675	3.82	0.02800000086426735
388	9700	3.823	0.02800000086426735
389	9725	3.825	0.02800000086426735
390	9750	3.828	0.02800000086426735
391	9775	3.83	0.02800000086426735
392	9800	3.832	0.02800000086426735
393	9825	3.834	0.02800000086426735
394	9850	3.836	0.02800000086426735
395	9875	3.839	0.02800000086426735
396	9900	3.842	0.02800000086426735
397	9925	3.844	0.02800000086426735
398	9950	3.847	0.02800000086426735
399	9975	3.849	0.02800000086426735
400	10000	3.852	0.02800000086426735
401	10025	3.854	0.02800000086426735
402	10050	3.856	0.02800000086426735
403	10075	3.858	0.028999999165534973
404	10100	3.86	0.028999999165534973
405	10125	3.863	0.028999999165534973
406	10150	3.865	0.028999999165534973
407	10175	3.867	0.028999999165534973
408	10200	3.869	0.028999999165534973
409	10225	3.872	0.028999999165534973
410	10250	3.874	0.028999999165534973
411	10275	3.876	0.028999999165534973
412	10300	3.879	0.028999999165534973
413	10325	3.882	0.028999999165534973
414	10350	3.884	0.028999999165534973
415	10375	3.886	0.028999999165534973
416	10400	3.888	0.028999999165534973
417	10425	3.891	0.028999999165534973
418	10450	3.895	0.028999999165534973
419	10475	3.898	0.028999999165534973
420	10500	3.903	0.028999999165534973
421	10525	3.907	0.028999999165534973
422	10550	3.911	0.028999999165534973
423	10575	3.915	0.028999999165534973
424	10600	3.919	0.028999999165534973
425	10625	3.922	0.028999999165534973
426	10650	3.929	0.028999999165534973
427	10675	3.933	0.029999999329447746
428	10700	3.937	0.029999999329447746
429	10725	3.941	0.029999999329447746
430	10750	3.944	0.029999999329447746
431	10775	3.948	0.029999999329447746
