iteration	evaluations	runtime[s]	Porción_Colocados-MAX[MAX]
69	1725	1.378	0.003000000026077032
70	1750	1.39	0.003000000026077032
71	1775	1.401	0.003000000026077032
72	1800	1.411	0.003000000026077032
73	1825	1.422	0.003000000026077032
74	1850	1.435	0.003000000026077032
75	1875	1.446	0.003000000026077032
76	1900	1.456	0.003000000026077032
77	1925	1.466	0.003000000026077032
78	1950	1.477	0.003000000026077032
79	1975	1.487	0.003000000026077032
80	2000	1.498	0.003000000026077032
81	2025	1.508	0.003000000026077032
82	2050	1.524	0.003000000026077032
83	2075	1.534	0.003000000026077032
84	2100	1.545	0.003000000026077032
85	2125	1.555	0.003000000026077032
86	2150	1.566	0.003000000026077032
87	2175	1.576	0.003000000026077032
88	2200	1.587	0.003000000026077032
89	2225	1.598	0.003000000026077032
90	2250	1.608	0.003000000026077032
91	2275	1.619	0.003000000026077032
92	2300	1.631	0.003000000026077032
93	2325	1.642	0.003000000026077032
94	2350	1.651	0.003000000026077032
95	2375	1.66	0.003000000026077032
96	2400	1.671	0.003000000026077032
97	2425	1.682	0.003000000026077032
98	2450	1.692	0.003000000026077032
99	2475	1.702	0.003000000026077032
100	2500	1.713	0.003000000026077032
101	2525	1.724	0.003000000026077032
102	2550	1.737	0.003000000026077032
103	2575	1.747	0.003000000026077032
104	2600	1.765	0.003000000026077032
105	2625	1.783	0.003000000026077032
106	2650	1.83	0.003000000026077032
107	2675	1.84	0.003000000026077032
108	2700	1.847	0.003000000026077032
109	2725	1.853	0.003000000026077032
110	2750	1.861	0.003000000026077032
111	2775	1.869	0.003000000026077032
112	2800	1.877	0.003000000026077032
113	2825	1.885	0.003000000026077032
114	2850	1.892	0.003000000026077032
115	2875	1.899	0.003000000026077032
116	2900	1.906	0.003000000026077032
117	2925	1.914	0.003000000026077032
118	2950	1.924	0.003000000026077032
119	2975	1.93	0.003000000026077032
120	3000	1.938	0.003000000026077032
121	3025	1.945	0.003000000026077032
122	3050	1.953	0.003000000026077032
123	3075	1.961	0.003000000026077032
124	3100	1.968	0.003000000026077032
125	3125	1.975	0.003000000026077032
126	3150	1.982	0.003000000026077032
127	3175	1.991	0.003000000026077032
128	3200	2.0	0.003000000026077032
129	3225	2.007	0.003000000026077032
130	3250	2.015	0.003000000026077032
131	3275	2.023	0.003000000026077032
132	3300	2.03	0.003000000026077032
133	3325	2.038	0.003000000026077032
134	3350	2.046	0.003000000026077032
135	3375	2.053	0.003000000026077032
136	3400	2.059	0.003000000026077032
137	3425	2.067	0.003000000026077032
138	3450	2.074	0.003000000026077032
139	3475	2.082	0.003000000026077032
140	3500	2.089	0.003000000026077032
141	3525	2.097	0.003000000026077032
142	3550	2.104	0.003000000026077032
143	3575	2.112	0.003000000026077032
144	3600	2.12	0.003000000026077032
145	3625	2.128	0.003000000026077032
146	3650	2.136	0.003000000026077032
147	3675	2.144	0.003000000026077032
148	3700	2.151	0.003000000026077032
149	3725	2.161	0.003000000026077032
150	3750	2.17	0.003000000026077032
