1	25	296	3
2	50	302	3
3	75	308	3
4	100	315	3
5	125	322	4
6	150	337	4
7	175	349	4
8	200	356	4
9	225	363	4
10	250	370	4
11	275	376	5
12	300	381	5
13	325	388	5
14	350	394	5
15	375	399	5
16	400	404	9
17	425	409	9
18	450	413	9
19	475	419	9
20	500	424	9
21	525	437	9
22	550	442	9
23	575	446	9
24	600	450	9
25	625	455	9
26	650	459	9
27	675	463	9
28	700	467	9
29	725	470	9
30	750	477	9
31	775	480	9
32	800	484	9
33	825	488	9
34	850	491	9
35	875	494	12
36	900	497	12
37	925	501	12
38	950	505	12
39	975	510	12
40	1000	515	12
41	1025	518	12
42	1050	521	12
43	1075	523	12
44	1100	526	12
45	1125	528	12
46	1150	531	13
47	1175	533	13
48	1200	536	13
49	1225	540	13
50	1250	544	13
51	1275	548	13
52	1300	551	13
53	1325	554	13
54	1350	556	13
55	1375	560	13
56	1400	562	13
57	1425	564	13
58	1450	567	13
59	1475	569	13
60	1500	572	13
61	1525	574	13
62	1550	577	13
63	1575	581	14
64	1600	584	14
65	1625	588	14
66	1650	590	14
67	1675	593	14
68	1700	596	14
69	1725	603	14
70	1750	605	14
71	1775	607	14
72	1800	609	14
73	1825	611	14
74	1850	613	14
75	1875	615	14
76	1900	618	14
77	1925	621	14
78	1950	624	14
79	1975	627	14
80	2000	630	14
81	2025	632	14
82	2050	634	14
83	2075	636	14
84	2100	639	14
85	2125	641	14
86	2150	643	14
87	2175	645	14
88	2200	647	14
89	2225	650	14
90	2250	652	14
91	2275	655	14
92	2300	658	14
93	2325	661	14
94	2350	663	14
95	2375	666	14
96	2400	668	14
97	2425	671	14
98	2450	673	14
99	2475	676	14
100	2500	678	14
101	2525	683	14
102	2550	685	14
103	2575	687	14
104	2600	688	14
105	2625	690	14
106	2650	692	14
107	2675	694	15
108	2700	695	15
109	2725	697	15
110	2750	699	15
111	2775	701	15
112	2800	704	15
113	2825	706	15
114	2850	708	15
115	2875	711	15
116	2900	713	15
117	2925	714	15
118	2950	716	15
119	2975	717	15
120	3000	719	15
121	3025	721	15
122	3050	722	15
123	3075	724	15
124	3100	727	15
125	3125	729	15
126	3150	731	15
127	3175	733	15
128	3200	736	15
129	3225	741	15
130	3250	743	15
131	3275	746	15
132	3300	748	15
133	3325	751	15
134	3350	754	15
135	3375	757	15
136	3400	760	15
137	3425	763	15
138	3450	765	15
139	3475	768	15
140	3500	771	15
141	3525	773	15
142	3550	774	15
143	3575	776	15
144	3600	777	15
145	3625	778	15
146	3650	779	15
147	3675	780	15
148	3700	782	15
149	3725	783	15
150	3750	784	15
151	3775	786	15
152	3800	787	15
153	3825	789	15
154	3850	790	15
155	3875	791	15
156	3900	792	15
157	3925	793	15
158	3950	794	15
159	3975	795	15
160	4000	796	15
161	4025	797	15
162	4050	798	15
163	4075	799	15
164	4100	800	15
165	4125	801	15
166	4150	802	15
167	4175	802	15
168	4200	803	15
169	4225	804	15
170	4250	805	15
171	4275	806	15
172	4300	807	15
173	4325	808	15
174	4350	808	15
175	4375	809	15
176	4400	810	15
177	4425	810	15
178	4450	811	15
179	4475	812	15
180	4500	813	15
181	4525	813	15
182	4550	814	15
183	4575	815	15
184	4600	815	15
185	4625	816	15
186	4650	817	15
187	4675	817	15
188	4700	818	15
189	4725	822	15
190	4750	823	15
191	4775	824	15
192	4800	827	15
193	4825	828	15
194	4850	829	15
195	4875	830	15
196	4900	831	15
197	4925	832	15
198	4950	833	15
199	4975	833	15
200	5000	834	15
201	5025	835	15
202	5050	836	15
203	5075	837	15
204	5100	837	15
205	5125	838	15
206	5150	839	15
207	5175	840	15
208	5200	841	15
209	5225	842	15
210	5250	843	15
211	5275	844	15
212	5300	845	15
213	5325	846	15
214	5350	847	15
215	5375	848	15
216	5400	848	15
217	5425	849	15
218	5450	850	15
219	5475	851	15
220	5500	852	15
221	5525	852	15
222	5550	853	15
223	5575	854	15
224	5600	855	15
225	5625	855	15
226	5650	856	15
227	5675	857	15
228	5700	858	15
229	5725	859	15
230	5750	860	15
231	5775	861	15
232	5800	862	15
233	5825	863	15
234	5850	865	15
235	5875	866	15
236	5900	868	15
237	5925	869	15
238	5950	870	15
239	5975	871	15
240	6000	873	15
241	6025	874	15
242	6050	874	15
243	6075	875	15
244	6100	876	15
