iteration	evaluations	runtime[s]	Bloques_Colocados-MAX[24][MAX]
292	7300	0.242	9
293	7325	0.242	9
294	7350	0.243	9
295	7375	0.244	9
296	7400	0.245	9
297	7425	0.245	9
298	7450	0.246	9
299	7475	0.246	9
300	7500	0.247	9
301	7525	0.247	9
302	7550	0.248	9
303	7575	0.248	9
304	7600	0.248	9
305	7625	0.249	9
306	7650	0.249	9
307	7675	0.25	9
308	7700	0.25	9
309	7725	0.25	9
310	7750	0.251	9
311	7775	0.251	9
312	7800	0.252	9
313	7825	0.252	9
314	7850	0.255	9
315	7875	0.255	9
316	7900	0.256	9
317	7925	0.256	9
318	7950	0.257	9
319	7975	0.257	9
320	8000	0.258	9
321	8025	0.259	9
322	8050	0.259	9
323	8075	0.26	9
324	8100	0.26	9
325	8125	0.261	9
326	8150	0.262	9
327	8175	0.262	9
328	8200	0.263	9
329	8225	0.263	9
330	8250	0.264	9
331	8275	0.264	9
332	8300	0.265	9
333	8325	0.265	9
334	8350	0.266	9
335	8375	0.266	9
336	8400	0.266	9
337	8425	0.267	9
338	8450	0.267	9
339	8475	0.268	9
340	8500	0.268	9
341	8525	0.269	9
342	8550	0.269	9
343	8575	0.27	9
344	8600	0.27	9
345	8625	0.271	9
346	8650	0.271	9
347	8675	0.271	9
348	8700	0.272	9
349	8725	0.272	9
350	8750	0.273	9
351	8775	0.273	9
352	8800	0.274	9
353	8825	0.274	9
354	8850	0.275	9
355	8875	0.275	9
356	8900	0.276	9
357	8925	0.276	9
358	8950	0.277	9
359	8975	0.278	9
360	9000	0.278	9
361	9025	0.279	9
362	9050	0.28	9
363	9075	0.28	9
364	9100	0.281	9
365	9125	0.281	9
366	9150	0.282	9
367	9175	0.283	9
368	9200	0.284	9
369	9225	0.286	9
370	9250	0.287	9
371	9275	0.287	9
372	9300	0.288	9
373	9325	0.288	9
374	9350	0.289	9
375	9375	0.289	9
376	9400	0.29	9
377	9425	0.29	9
378	9450	0.291	9
379	9475	0.291	9
380	9500	0.292	9
381	9525	0.292	9
382	9550	0.293	9
383	9575	0.294	9
384	9600	0.294	9
385	9625	0.295	9
386	9650	0.296	9
387	9675	0.296	9
388	9700	0.297	9
389	9725	0.297	9
390	9750	0.298	9
391	9775	0.298	9
392	9800	0.299	9
393	9825	0.3	9
394	9850	0.3	9
395	9875	0.301	9
396	9900	0.301	9
397	9925	0.302	9
398	9950	0.302	9
399	9975	0.303	9
400	10000	0.303	9
401	10025	0.304	9
402	10050	0.304	9
403	10075	0.305	9
404	10100	0.305	9
405	10125	0.306	9
406	10150	0.306	9
407	10175	0.307	9
408	10200	0.308	9
409	10225	0.308	9
410	10250	0.309	9
411	10275	0.309	9
412	10300	0.31	9
413	10325	0.311	9
414	10350	0.311	9
415	10375	0.312	9
416	10400	0.312	9
417	10425	0.313	9
418	10450	0.313	9
419	10475	0.314	9
420	10500	0.314	9
421	10525	0.315	9
422	10550	0.315	9
423	10575	0.316	9
424	10600	0.316	9
425	10625	0.317	9
426	10650	0.317	9
427	10675	0.317	9
428	10700	0.321	9
429	10725	0.321	9
430	10750	0.322	9
431	10775	0.323	9
432	10800	0.324	9
433	10825	0.325	9
434	10850	0.326	9
435	10875	0.327	9
436	10900	0.328	9
437	10925	0.329	9
438	10950	0.33	9
439	10975	0.331	9
440	11000	0.332	9
441	11025	0.332	9
442	11050	0.333	9
443	11075	0.334	9
444	11100	0.335	9
445	11125	0.335	9
446	11150	0.336	9
447	11175	0.337	9
448	11200	0.337	9
449	11225	0.338	9
450	11250	0.339	9
451	11275	0.339	9
452	11300	0.34	9
453	11325	0.341	9
454	11350	0.341	9
455	11375	0.342	9
456	11400	0.343	9
457	11425	0.344	9
458	11450	0.345	9
459	11475	0.346	9
460	11500	0.346	9
461	11525	0.347	9
462	11550	0.348	9
463	11575	0.348	9
464	11600	0.349	9
465	11625	0.349	9
466	11650	0.35	9
467	11675	0.351	9
468	11700	0.351	9
469	11725	0.352	9
470	11750	0.353	9
471	11775	0.353	9
472	11800	0.354	9
473	11825	0.354	9
474	11850	0.355	9
475	11875	0.355	9
476	11900	0.356	9
477	11925	0.357	9
478	11950	0.358	9
479	11975	0.359	9
480	12000	0.36	9
481	12025	0.361	9
482	12050	0.362	9
483	12075	0.362	9
484	12100	0.371	9
485	12125	0.372	9
486	12150	0.373	9
487	12175	0.374	9
488	12200	0.375	9
489	12225	0.376	9
490	12250	0.376	9
491	12275	0.378	9
492	12300	0.378	9
493	12325	0.379	9
494	12350	0.379	9
495	12375	0.38	9
496	12400	0.38	9
497	12425	0.381	9
498	12450	0.382	9
499	12475	0.382	9
500	12500	0.383	9
501	12525	0.383	9
502	12550	0.384	9
503	12575	0.384	9
504	12600	0.385	9
505	12625	0.385	9
506	12650	0.386	9
507	12675	0.386	9
508	12700	0.387	9
509	12725	0.388	9
510	12750	0.388	9
511	12775	0.389	9
512	12800	0.389	9
513	12825	0.39	9
514	12850	0.391	9
515	12875	0.392	9
516	12900	0.392	9
517	12925	0.393	9
518	12950	0.394	9
519	12975	0.395	9
520	13000	0.396	9
521	13025	0.396	9
522	13050	0.397	9
523	13075	0.398	9
524	13100	0.398	9
525	13125	0.399	9
526	13150	0.4	9
527	13175	0.4	9
528	13200	0.4	9
529	13225	0.401	9
530	13250	0.402	9
531	13275	0.402	9
532	13300	0.403	9
533	13325	0.404	9
534	13350	0.404	9
535	13375	0.412	9
536	13400	0.413	9
537	13425	0.413	9
538	13450	0.414	9
539	13475	0.414	9
540	13500	0.414	9
541	13525	0.415	9
542	13550	0.415	9
543	13575	0.416	9
544	13600	0.416	9
545	13625	0.417	9
546	13650	0.417	9
547	13675	0.417	9
548	13700	0.418	9
549	13725	0.418	9
550	13750	0.419	9
551	13775	0.419	9
552	13800	0.419	9
553	13825	0.42	9
554	13850	0.42	9
555	13875	0.421	9
556	13900	0.421	9
557	13925	0.422	9
558	13950	0.422	9
559	13975	0.422	9
560	14000	0.423	9
561	14025	0.423	9
562	14050	0.424	9
563	14075	0.424	9
564	14100	0.425	9
565	14125	0.425	9
566	14150	0.426	9
567	14175	0.426	9
568	14200	0.427	9
569	14225	0.428	9
570	14250	0.428	9
571	14275	0.428	9
572	14300	0.429	9
573	14325	0.429	9
574	14350	0.43	9
575	14375	0.43	9
576	14400	0.43	9
577	14425	0.431	9
578	14450	0.431	9
579	14475	0.431	9
580	14500	0.432	9
581	14525	0.432	9
582	14550	0.433	9
583	14575	0.433	9
584	14600	0.433	9
585	14625	0.434	9
586	14650	0.434	9
587	14675	0.435	9
588	14700	0.435	9
589	14725	0.436	9
590	14750	0.436	9
591	14775	0.437	9
592	14800	0.438	9
593	14825	0.438	9
594	14850	0.439	9
595	14875	0.44	9
596	14900	0.44	9
597	14925	0.441	9
598	14950	0.442	9
599	14975	0.443	9
600	15000	0.444	9
601	15025	0.445	9
602	15050	0.445	9
603	15075	0.446	9
604	15100	0.447	9
605	15125	0.448	9
606	15150	0.449	9
607	15175	0.449	9
608	15200	0.45	9
609	15225	0.451	9
610	15250	0.452	9
