1	24	1361	3	13	1.5166667	13
2	48	1535	0	17	1.3166667	17
3	72	1649	0	18	1.3416667	18
4	96	1659	0	15	1.6666666	18
5	120	1671	0	13	1.55	18
6	144	1708	0	15	1.7666667	18
7	168	1737	0	15	1.9	18
8	192	1766	0	11	1.7666667	18
9	216	1788	0	12	1.9333333	18
10	240	1803	0	15	1.9666667	18
11	264	1817	0	18	2.4333334	18
12	288	1830	0	13	2.2666667	18
13	312	1841	0	15	2.2333333	18
14	336	1853	0	15	2.5	18
15	360	1866	0	17	2.7333333	18
16	384	1877	0	15	2.5666666	18
17	408	1913	0	17	2.9666667	18
18	432	1924	0	18	3.0	18
19	456	1934	0	17	3.1333334	18
20	480	1944	0	17	3.0666666	18
21	504	1954	0	18	3.1	18
22	528	1964	0	18	3.1666667	18
23	552	1974	0	18	3.175	18
24	576	1989	0	17	3.1333334	18
25	600	2004	0	18	3.1	18
26	624	2016	0	18	3.2666667	18
27	648	2024	0	18	3.5	18
28	672	2034	0	18	3.3333333	18
29	696	2044	0	18	3.5333333	18
30	720	2054	0	18	3.5333333	18
31	744	2063	0	18	3.5666666	18
32	768	2076	0	18	3.5583334	18
33	792	2086	0	18	3.6	18
34	816	2098	0	18	3.6	18
35	840	2112	0	18	3.6	18
36	864	2122	0	18	3.6	18
37	888	2132	0	18	3.6	18
38	912	2143	0	18	3.6	18
39	936	2157	0	18	3.6	18
40	960	2171	0	18	3.6	18
41	984	2183	0	18	3.5583334	18
42	1008	2195	0	18	3.6	18
43	1032	2207	0	18	3.6	18
44	1056	2217	0	18	3.6	18
45	1080	2230	0	18	3.6	18
46	1104	2242	0	18	3.6	18
47	1128	2255	0	18	3.6	18
48	1152	2274	0	18	3.6	18
49	1176	2287	0	18	3.6	18
50	1200	2294	0	18	3.6	18
51	1224	2304	0	18	3.5916667	18
52	1248	2314	0	18	3.6	18
53	1272	2324	0	18	3.5416667	18
54	1296	2334	0	18	3.6	18
55	1320	2343	0	18	3.6	18
56	1344	2353	0	18	3.6	18
57	1368	2362	0	18	3.6	18
58	1392	2372	0	18	3.55	18
59	1416	2377	0	18	3.6	18
60	1440	2386	0	18	3.6	18
61	1464	2392	0	18	3.6	18
62	1488	2400	0	18	3.5583334	18
63	1512	2408	0	18	3.6	18
64	1536	2415	0	18	3.5916667	18
65	1560	2423	0	18	3.6	18
66	1584	2430	0	18	3.6	18
67	1608	2439	0	18	3.6	18
68	1632	2446	0	18	3.6	18
69	1656	2455	0	18	3.6	18
70	1680	2461	0	18	3.5833333	18
71	1704	2470	0	18	3.4833333	18
72	1728	2476	0	18	3.6	18
73	1752	2484	0	18	3.6	18
74	1776	2493	0	18	3.6	18
75	1800	2503	0	18	3.6	18
76	1824	2511	0	18	3.6	18
77	1848	2522	0	18	3.6	18
78	1872	2528	0	18	3.6	18
79	1896	2538	0	18	3.5916667	18
80	1920	2544	0	18	3.6	18
81	1944	2554	0	18	3.6	18
82	1968	2561	0	18	3.6	18
83	1992	2571	0	18	3.6	18
84	2016	2577	0	18	3.575	18
85	2040	2587	0	18	3.6	18
86	2064	2593	0	18	3.6	18
87	2088	2601	0	18	3.6	18
88	2112	2606	0	18	3.55	18
89	2136	2611	0	18	3.6	18
90	2160	2619	0	18	3.6	18
91	2184	2625	0	18	3.5916667	18
92	2208	2630	0	18	3.6	18
93	2232	2636	0	18	3.6	18
94	2256	2641	0	18	3.6	18
95	2280	2647	0	18	3.6	18
96	2304	2653	0	18	3.5083334	18
97	2328	2658	0	18	3.6	18
98	2352	2664	0	18	3.6	18
99	2376	2672	0	18	3.6	18
100	2400	2677	0	18	3.6	18
101	2424	2685	0	18	3.6	18
102	2448	2691	0	18	3.6	18
103	2472	2696	0	18	3.6	18
104	2496	2703	0	18	3.6	18
105	2520	2709	0	18	3.6	18
106	2544	2716	0	18	3.6	18
107	2568	2723	0	18	3.6	18
108	2592	2728	0	18	3.6	18
