1	1	1911	13	9901.000095367432	13	0	0	
2	2	1915	13	9802.000188827515	13	13	1	
3	3	1917	13	9703.990280408862	13	13	2	
4	4	1918	13	9606.9604701397	13	13	3	
5	5	1919	13	9510.900957047881	13	13	4	
6	6	1920	13	9415.802038170885	13	13	5	
7	7	1921	13	9321.654107575725	13	13	6	
8	8	1922	13	9228.447655388652	13	13	7	
9	9	1923	13	9136.173266834563	13	13	8	
10	10	1924	13	9044.821621286019	13	13	9	
11	11	1925	13	8954.383491321763	13	13	10	
12	12	1926	13	8864.849741794664	13	13	11	
13	13	1927	13	8776.211328908976	13	13	12	
14	14	1928	13	8688.459299306824	13	13	13	
15	15	1929	13	8601.584789163822	13	13	14	
16	16	1931	13	8515.579023293752	13	13	15	
17	17	1932	13	8430.433314262167	13	13	16	
18	18	1933	13	8346.139061508888	13	13	17	
19	19	1934	13	8262.687750479246	13	13	18	
20	20	1935	13	8180.070951764048	13	13	19	
21	21	1935	13	8098.280320248107	13	13	20	
22	22	1936	13	8017.307594267308	13	13	21	
23	23	1936	13	7937.144594774101	13	13	22	
24	24	1937	13	7857.783224511333	13	13	23	
25	25	1938	13	7779.215467194344	13	13	24	
26	26	1938	13	7701.433386701243	13	13	25	
27	27	1939	13	7624.429126271286	13	13	26	
28	28	1939	13	7548.1949077112595	13	13	27	
29	29	1940	13	7472.723030609806	13	13	28	
30	30	1940	13	7398.005871559612	13	13	29	
31	31	1940	13	7324.035883387361	13	13	30	
32	32	1941	13	7250.8055943914	13	13	31	
33	33	1941	13	7178.307607587019	13	13	32	
34	34	1942	13	7106.534599959289	13	13	33	
35	35	1942	13	7035.479321723355	13	13	34	
36	36	1943	13	6965.134595592143	13	13	35	
37	37	1943	13	6895.493316051385	13	13	36	
38	38	1944	13	6826.548448641883	13	13	37	
39	39	1944	13	6758.293029248966	13	13	38	
40	40	1945	13	6690.720163399045	13	13	39	
41	41	1945	13	6623.823025563198	13	13	40	
42	42	1946	13	6557.594858467728	13	13	41	
43	43	1947	13	6492.028972411612	13	13	42	
44	44	1947	13	6427.118744590772	13	13	43	
45	45	1947	13	6362.857618429109	13	13	44	
46	46	1948	13	6299.239102916219	13	13	45	
47	47	1948	13	6236.256771951746	13	13	46	
48	48	1949	13	6173.90426369627	13	13	47	
49	49	1949	13	6112.17527992871	13	13	48	
50	50	1950	13	6051.063585410133	13	13	49	
51	51	1950	13	5990.563007253934	13	13	50	
52	52	1950	13	5930.667434302318	13	13	51	
53	53	1951	13	5871.370816509011	13	13	52	
54	54	1951	13	5812.667164328139	13	13	53	
55	55	1952	13	5754.550548109235	13	13	54	
