1	1	2787	2	9.994999766349792	
2	2	2809	2	9.99000203293324	
3	3	2812	6	9.98500679850017	
4	4	2822	6	9.980014061801029	
5	5	2825	6	9.975023821586891	
6	6	2825	6	9.97003607660946	
7	7	2827	6	9.965050825621056	
8	8	2828	6	9.960068067374625	
9	9	2828	6	9.95508780062374	
10	10	2828	6	9.950110024122596	
11	11	2830	6	9.945134736626008	
12	12	2833	6	9.940161936889416	
13	13	2833	6	9.935191623668882	
14	14	2835	6	9.930223795721087	
15	15	2835	6	9.92525845180334	
16	16	2839	6	9.92029559067357	
17	17	2840	6	9.915335211090321	
18	18	2840	6	9.910377311812763	
19	19	2841	6	9.905421891600685	
20	20	2841	6	9.900468949214497	
21	21	2841	6	9.895518483415227	
22	22	2841	6	9.890570492964525	
23	23	2842	6	9.885624976624658	
24	24	2842	6	9.880681933158513	
25	25	2842	6	9.875741361329595	
26	26	2842	6	9.87080325990203	
27	27	2843	6	9.865867627640554	
28	28	2854	6	9.860934463310532	
29	29	2862	6	9.856003765677938	
30	30	2863	6	9.851075533509366	
31	31	2863	6	9.84614976557203	
32	32	2863	6	9.841226460633749	
33	33	2863	6	9.83630561746297	
34	34	2863	6	9.831387234828755	
35	35	2864	6	9.826471311500773	
36	36	2864	6	9.821557846249316	
37	37	2864	6	9.81664683784529	
38	38	2864	6	9.81173828506021	
39	39	2864	6	9.806832186666211	
40	40	2864	6	9.801928541436041	
41	41	2865	6	9.79702734814306	
42	42	2865	6	9.79212860556124	
43	43	2869	6	9.787232312465171	
44	44	2869	6	9.782338467630053	
45	45	2869	6	9.777447069831696	
46	46	2874	6	9.772558117846527	
47	47	2874	6	9.76767161045158	
48	48	2878	6	9.762787546424505	
49	49	2878	6	9.757905924543559	
50	50	2879	6	9.753026743587613	
51	51	2879	6	9.748150002336146	
52	52	2879	6	9.743275699569251	
53	53	2880	6	9.738403834067629	
54	54	2881	6	9.733534404612586	
55	55	2881	6	9.728667409986047	
56	56	2888	6	9.723802848970537	
57	57	2895	6	9.718940720349197	
58	58	2896	6	9.71408102290577	
59	59	2899	6	9.709223755424613	
60	60	2900	6	9.704368916690687	
61	61	2900	6	9.69951650548956	
62	62	2904	6	9.694666520607411	
63	63	2904	6	9.689818960831023	
64	64	2905	6	9.684973824947786	
65	65	2905	6	9.680131111745698	
66	66	2905	6	9.67529082001336	
67	67	2906	6	9.670452948539982	
68	68	2907	6	9.66561749611538	
69	69	2908	6	9.66078446152997	
70	70	2908	6	9.655953843574775	
71	71	2909	6	9.651125641041425	
72	72	2909	6	9.646299852722153	
73	73	2921	6	9.641476477409796	
74	74	2921	6	9.636655513897793	
75	75	2923	6	9.631836960980188	
76	76	2923	6	9.627020817451626	
77	77	2925	6	9.62220708210736	
78	78	2936	6	9.617395753743239	
79	79	2937	6	9.612586831155715	
80	80	2939	6	9.607780313141847	
81	81	2939	6	9.602976198499288	
82	82	2939	6	9.598174486026302	
83	83	2939	6	9.593375174521743	
84	84	2940	6	9.588578262785072	
85	85	2941	6	9.58378374961635	
86	86	2941	6	9.578991633816234	
87	87	2942	6	9.574201914185988	
88	88	2942	6	9.569414589527469	
89	89	2943	6	9.564629658643135	
90	90	2943	6	9.559847120336043	
91	91	2943	6	9.555066973409849	
92	92	2943	6	9.550289216668805	
93	93	2944	6	9.545513848917764	
94	94	2946	6	9.540740868962176	
95	95	2946	6	9.535970275608088	
96	96	2946	6	9.53120206766214	
97	97	2948	6	9.526436243931576	
98	98	2949	6	9.521672803224227	
99	99	2950	6	9.516911744348533	
100	100	2950	6	9.51215306611352	
101	101	2950	6	9.507396767328808	
102	102	2950	6	9.502642846804621	
103	103	2951	6	9.497891303351771	
104	104	2952	6	9.493142135781667	
105	105	2952	6	9.488395342906315	
106	106	2952	6	9.483650923538306	
107	107	2952	6	9.478908876490838	
108	108	2963	6	9.47416920057769	
109	109	2964	6	9.46943189461324	
110	110	2970	6	9.464696957412462	
111	111	2971	6	9.459964387790915	
112	112	2974	6	9.455234184564755	
113	113	2974	6	9.450506346550728	
114	114	2974	6	9.445780872566177	
115	115	2975	6	9.441057761429029	
116	116	2976	6	9.436337011957804	
117	117	2976	6	9.431618622971614	
118	118	2977	6	9.426902593290162	
119	119	2978	6	9.422188921733742	
120	120	2978	6	9.417477607123237	
121	121	2979	6	9.412768648280116	
122	122	2979	6	9.40806204402644	
123	123	2979	6	9.403357793184862	
124	124	2979	6	9.39865589457862	
125	125	2980	6	9.39395634703154	
126	126	2981	6	9.38925914936804	
127	127	2982	6	9.384564300413121	
128	128	2982	6	9.379871798992376	
129	129	2983	6	9.37518164393198	
130	130	2984	6	9.3704938340587	
131	131	2984	6	9.365808368199888	
132	132	2984	6	9.36112524518348	
133	133	2984	6	9.356444463838002	
134	134	2994	6	9.351766022992566	
135	135	2995	6	9.347089921476861	
136	136	2996	6	9.342416158121173	
137	137	2996	6	9.337744731756366	
138	138	2997	6	9.333075641213888	
139	139	3002	6	9.328408885325775	
140	140	3003	6	9.323744462924644	
141	141	3003	6	9.3190823728437	
142	142	3003	6	9.314422613916726	
143	143	3003	6	9.309765184978088	
144	144	3003	6	9.305110084862743	
145	145	3003	6	9.300457312406222	
146	146	3004	6	9.29580686644464	
147	147	3004	6	9.291158745814696	
148	148	3004	6	9.286512949353673	
149	149	3004	6	9.281869475899429	
150	150	3004	6	9.277228324290407	
151	151	3004	6	9.27258949336563	
152	152	3004	6	9.2679529819647	
153	153	3004	6	9.263318788927803	
154	154	3004	6	9.258686913095705	
155	155	3005	6	9.254057353309744	
